trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-132.04348124837702,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-134.28633703370411,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-241.31704353301967,"{0: 11, 1: 0, 2: 8, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-92.85881752378299,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,2,-112.17220304291932,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-278.03727116669086,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,12,-31.925728933577314,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-163.1598657621561,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,4,-163.89488084750735,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,13,-80.76720351502618,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-182.3719819958729,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-83.10164185917037,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,13,-41.15766564658155,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-36.277604509831086,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-147.73720091497708,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-48.506389536310465,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-75.64596971603483,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,9,-93.34654940027563,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-150.97316075593548,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,9.56663409395305,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",35,16,-53.839484868918476,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,0,-8.681994799401592,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-156.4274343344384,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-50.07268400341658,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,9,-82.2496879811571,"{0: 12, 1: 0, 2: 0, 3: 3, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,8,-23.793996419334096,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,2,-72.45980803950216,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-47.22783681487631,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,10,-27.570433937995453,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,-25.1650706632457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
