trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",20,0,-103.74602768695077,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.9801}",30,0,-120.71398353641676,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.970299}",20,0,-80.78686686098548,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.96059601}",20,0,-70.65482752605084,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",25,0,-196.3301148568723,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.941480149401}",20,0,-37.457144006673595,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",20,0,-133.38554561007368,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9227446944279201}",30,0,-129.55365309021528,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.6, 'e': 0.9135172474836408}",20,8,-49.20820217938966,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.9043820750088044}",25,0,-241.0241224314887,"{0: 10, 1: 4, 2: 5, 3: 3, 4: 3}",0
11,False,"{'a': 0.6, 'e': 0.8953382542587164}",35,0,-145.65354559129452,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.8863848717161292}",20,0,-158.61035602021286,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-222.4956009882383,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
14,False,"{'a': 0.6, 'e': 0.8687458127689782}",20,0,-156.92580142967267,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.6, 'e': 0.8600583546412884}",20,4,-98.85063020939516,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 1}",1
16,False,"{'a': 0.6, 'e': 0.8514577710948755}",25,15,12.297190363570305,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.8429431933839268}",25,0,-122.1052585907203,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.8345137614500875}",30,0,-146.61125080174943,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.8261686238355866}",25,0,-98.37775064793857,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.8179069375972308}",30,0,-83.26833408931834,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.8097278682212584}",20,8,-75.27992416211924,"{0: 5, 1: 1, 2: 4, 3: 2, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.8016305895390459}",20,0,-146.41216358466465,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.6, 'e': 0.7936142836436554}",25,0,-131.6865408359897,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.7856781408072188}",25,13,-65.70300778273707,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
25,False,"{'a': 0.6, 'e': 0.7778213593991467}",20,0,-22.907671504171915,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.7700431458051551}",30,0,-24.17584443866749,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.7623427143471035}",30,0,-121.49321551091823,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.6, 'e': 0.7547192872036326}",30,6,-74.87616096483438,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.7471720943315961}",20,0,-124.74548405362769,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.7397003733882802}",30,0,-112.01834300149524,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.7323033696543975}",30,20,5.333969293405373,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.6, 'e': 0.7249803359578534}",20,2,-113.98159352310188,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 3}",1
33,False,"{'a': 0.6, 'e': 0.7177305325982749}",30,0,-49.44715661335713,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.7105532272722921}",25,0,-67.14352626421723,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.7034476949995692}",25,15,-61.25301779271706,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.6, 'e': 0.6964132180495735}",30,19,-48.136909000925456,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.6, 'e': 0.6894490858690777}",25,0,-79.7833103799655,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.682554595010387}",20,4,-56.1884046776504,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.6757290490602831}",30,0,-183.50587901144738,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
40,False,"{'a': 0.6, 'e': 0.6689717585696803}",20,0,-180.7964485287913,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
41,False,"{'a': 0.6, 'e': 0.6622820409839835}",30,0,-232.46616353682566,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
42,False,"{'a': 0.6, 'e': 0.6556592205741436}",20,0,-125.60461740497212,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.6, 'e': 0.6491026283684022}",20,0,-96.49035326590753,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
44,False,"{'a': 0.6, 'e': 0.6426116020847181}",20,7,-90.25588178755042,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.6, 'e': 0.6361854860638709}",20,0,-56.405318924060374,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
46,False,"{'a': 0.6, 'e': 0.6298236312032323}",25,0,-163.95441079885043,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
47,False,"{'a': 0.6, 'e': 0.6235253948912}",25,0,-93.97973631041155,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.6, 'e': 0.617290140942288}",30,3,-135.01084486836555,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 2}",1
49,False,"{'a': 0.6, 'e': 0.611117239532865}",20,16,6.765426713032087,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.6050060671375364}",30,0,-184.78114645306732,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
51,False,"{'a': 0.6, 'e': 0.598956006466161}",25,0,-71.25874647994603,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.6, 'e': 0.5929664464014994}",20,16,7.2259813144624,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.6, 'e': 0.5870367819374844}",20,12,11.404800369623814,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.5811664141181095}",30,13,-96.9313246732872,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 2}",1
55,False,"{'a': 0.6, 'e': 0.5753547499769285}",25,0,-38.754889980771594,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.6, 'e': 0.5696012024771592}",20,6,-7.2381551913805,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
