trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9974009322376768}",25,0,-14.312656278205866,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9973353118490808}",20,0,-180.16574094350702,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997268039236989}",20,0,-152.0843463589161,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9971990730328789}",25,11,-4.392432420234388,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9971283708442995}",20,0,-63.65731339583348,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9970558892301329}",25,0,-239.90061189258194,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9969815836752917}",20,0,-86.6720825826953,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9969054085648383}",20,0,-143.93023384693404,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9968273171575148}",25,0,-174.4754096213841,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9967472615586723}",25,0,-174.11971810618576,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9966651926925867}",20,0,-152.8307940475655,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9965810602741516}",20,0,-46.810463186436955,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9964948127799336}",20,0,-107.51615940766513,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9964063974185798}",20,0,-133.33113736050652,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9963157601005641}",25,0,-84.38987831409834,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9962228454072597}",20,0,-80.37414094859386,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9961275965593289}",20,0,-83.8011646134836,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9960299553844113}",25,0,-202.26625617159664,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.995929862284104}",30,0,-272.1703727583125,"{0: 12, 1: 4, 2: 10, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.995827256200217}",30,0,-141.9881528466775,"{0: 14, 1: 5, 2: 10, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-85.17824395640811,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-182.0497796091225,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,14,1.2708316532484614,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-196.98432451625067,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-69.67589102220664,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-12.60224502762704,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-97.0186362977854,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-66.69430324001004,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-59.03174187301839,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,8,-260.1010431984317,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 6}",1
